Rank,Team,Points,Played,Wins,Draws,Losses,GF,GA,GD
1,Liverpool,88,38,26,10,2,86,40,46
2,Arsenal,74,38,20,14,4,68,36,32
3,Nottingham Forest,70,38,20,10,8,66,48,18
4,Manchester City,69,38,20,9,9,70,48,22
5,Chelsea,66,38,18,12,8,68,48,20
6,Newcastle,65,38,19,8,11,66,52,14
7,Aston Villa,63,38,17,12,9,58,56,2
8,Bournemouth,58,38,15,13,10,65,51,14
9,Fulham,54,38,14,12,12,57,54,3
10,Brighton,54,38,14,12,12,59,59,0
11,Brentford,51,38,14,9,15,63,59,4
12,Crystal Palace,49,38,12,13,13,51,50,1
13,Tottenham,48,38,14,6,18,70,56,14
14,West Ham,45,38,12,9,17,46,63,-17
15,Manchester United,42,38,10,12,16,47,54,-7
16,Everton,39,38,7,18,13,44,52,-8
17,Wolves,34,38,9,7,22,50,71,-21
18,Ipswich,26,38,5,11,22,42,78,-36
19,Southampton,21,38,4,9,25,33,82,-49
20,Leicester,18,38,4,6,28,32,84,-52
