date,home_team,away_team,predicted_home_goals,predicted_away_goals
12/04/2025,Manchester City,Crystal Palace,2.19,1.37
12/04/2025,Southampton,Aston Villa,0.64,1.39
12/04/2025,Brighton,Leicester,2.46,0.91
12/04/2025,Nottingham Forest,Everton,1.88,1.55
12/04/2025,Arsenal,Brentford,1.51,1.49
13/04/2025,Wolves,Tottenham,1.2,1.99
13/04/2025,Liverpool,West Ham,2.02,1.38
13/04/2025,Chelsea,Ipswich,1.61,1.72
13/04/2025,Newcastle,Manchester United,1.8,1.64
14/04/2025,Bournemouth,Fulham,1.53,1.52
16/04/2025,Newcastle,Crystal Palace,1.85,1.4
19/04/2025,Everton,Manchester City,1.49,1.67
19/04/2025,West Ham,Southampton,1.49,1.52
19/04/2025,Crystal Palace,Bournemouth,1.67,1.87
19/04/2025,Brentford,Brighton,1.61,1.6
19/04/2025,Aston Villa,Newcastle,1.8,1.33
20/04/2025,Manchester United,Wolves,1.49,1.49
20/04/2025,Fulham,Chelsea,1.15,1.95
20/04/2025,Ipswich,Arsenal,1.0,1.87
20/04/2025,Leicester,Liverpool,1.02,2.22
21/04/2025,Tottenham,Nottingham Forest,1.46,1.64
22/04/2025,Manchester City,Aston Villa,2.33,1.33
23/04/2025,Arsenal,Crystal Palace,1.88,1.5
26/04/2025,Chelsea,Everton,2.0,1.49
26/04/2025,Newcastle,Ipswich,1.52,1.59
26/04/2025,Wolves,Leicester,0.73,0.89
26/04/2025,Southampton,Fulham,0.94,1.2
26/04/2025,Brighton,West Ham,1.48,1.71
27/04/2025,Bournemouth,Manchester United,1.68,1.46
27/04/2025,Liverpool,Tottenham,1.84,1.52
01/05/2025,Nottingham Forest,Brentford,1.52,1.59
02/05/2025,Manchester City,Wolves,2.23,1.35
03/05/2025,Aston Villa,Fulham,1.95,1.25
03/05/2025,Everton,Ipswich,1.78,1.53
03/05/2025,Leicester,Southampton,0.77,1.51
03/05/2025,West Ham,Tottenham,1.55,1.88
03/05/2025,Arsenal,Bournemouth,1.31,1.65
04/05/2025,Brighton,Newcastle,1.43,1.67
04/05/2025,Brentford,Manchester United,1.7,1.64
04/05/2025,Chelsea,Liverpool,1.67,1.72
05/05/2025,Crystal Palace,Nottingham Forest,1.53,1.55
10/05/2025,Newcastle,Chelsea,1.56,2.05
10/05/2025,Manchester United,West Ham,1.46,1.62
10/05/2025,Fulham,Everton,1.62,1.65
10/05/2025,Wolves,Brighton,1.13,1.72
10/05/2025,Southampton,Manchester City,0.82,1.31
10/05/2025,Tottenham,Crystal Palace,1.82,1.44
10/05/2025,Ipswich,Brentford,1.18,2.13
10/05/2025,Bournemouth,Aston Villa,1.7,1.56
11/05/2025,Nottingham Forest,Leicester,2.89,0.79
11/05/2025,Liverpool,Arsenal,1.52,1.7
18/05/2025,Arsenal,Newcastle,1.7,1.38
18/05/2025,Everton,Southampton,1.69,1.52
18/05/2025,Leicester,Ipswich,0.85,1.75
18/05/2025,West Ham,Nottingham Forest,1.48,1.58
18/05/2025,Chelsea,Manchester United,1.94,1.35
18/05/2025,Manchester City,Bournemouth,1.58,1.7
18/05/2025,Brighton,Liverpool,1.22,1.97
18/05/2025,Crystal Palace,Wolves,1.68,1.49
18/05/2025,Brentford,Fulham,1.49,1.61
18/05/2025,Aston Villa,Tottenham,2.01,1.35
25/05/2025,Manchester United,Aston Villa,1.68,1.51
25/05/2025,Newcastle,Everton,1.71,1.47
25/05/2025,Bournemouth,Leicester,2.05,0.89
25/05/2025,Fulham,Manchester City,1.11,1.85
25/05/2025,Wolves,Brentford,0.98,2.03
25/05/2025,Liverpool,Crystal Palace,2.1,1.45
25/05/2025,Southampton,Arsenal,0.8,1.41
25/05/2025,Tottenham,Brighton,1.78,1.41
25/05/2025,Ipswich,West Ham,1.3,1.51
25/05/2025,Nottingham Forest,Chelsea,1.63,2.09
