Rank,Team,Points,Played,Wins,Draws,Losses,GF,GA,GD
1,Liverpool,73,31,22,7,2,72,30,42
2,Arsenal,62,31,17,11,3,56,26,30
3,Nottingham Forest,57,31,17,6,8,51,37,14
4,Chelsea,53,31,15,8,8,54,37,17
5,Newcastle,53,30,16,5,9,52,39,13
6,Manchester City,52,31,15,7,9,57,40,17
7,Aston Villa,51,31,14,9,8,46,46,0
8,Fulham,48,31,13,9,9,47,42,5
9,Brighton,47,31,12,11,8,49,47,2
10,Bournemouth,45,31,12,9,10,51,40,11
11,Crystal Palace,43,30,11,10,9,39,35,4
12,Brentford,42,31,12,6,13,51,47,4
13,Manchester United,38,31,10,8,13,37,41,-4
14,Tottenham,37,31,11,4,16,58,45,13
15,Everton,35,31,7,14,10,33,38,-5
16,West Ham,35,31,9,8,14,35,52,-17
17,Wolves,32,31,9,5,17,43,59,-16
18,Ipswich,20,31,4,8,19,31,65,-34
19,Leicester,17,31,4,5,22,25,70,-45
20,Southampton,10,31,2,4,25,23,74,-51
